platform,social_id,username,fullname,avatar_url,is_verified,subscribers_count,engagement_avg,authentic_engagement,audience_geo_country_1_code,audience_geo_country_1_prc,blogger_thematics,video_views_avg,likes_avg,comments_avg,shares_avg,description,tier,hs_value,aqs,additional_countries
Instagram,2012296125,brielarson,Brie Larson,https://cdn.hypeauditor.com/img/instagram/user/2012296125.jpg?w=150&till=1722470340&sign=c3240f75591683ac562b0ac17ab5add3,True,7059235,126570.0,91164.0,us,27.08,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,12246775,britneyspears,XILA MARIA RIVER RED,https://cdn.hypeauditor.com/img/instagram/user/12246775.jpg?w=150&till=1722470340&sign=2ff345978cd591645af018a941169e13,True,42260117,61011.0,45044.0,us,32.24,['Music'],,,,,,,,,
Instagram,41658688,bruluccas,Brú Luccas,https://cdn.hypeauditor.com/img/instagram/user/41658688.jpg?w=150&till=1722470340&sign=bd36e515b44d6438f1812d0de48bc58b,True,5525055,96813.0,52503.0,br,21.0,['Lifestyle'],,,,,,,,,
Instagram,331220563,brunabiancardi,BRUNA BIANCARDI,https://cdn.hypeauditor.com/img/instagram/user/331220563.jpg?w=150&till=1722470340&sign=35514c89ea26f8c3953183bd710e8506,True,10041303,184343.0,120352.0,br,77.93,"['Travel', 'Lifestyle']",,,,,,,,,
Instagram,21115210,brunatavares,A BRUNA de BT 💙,https://cdn.hypeauditor.com/img/instagram/user/21115210.jpg?w=150&till=1722470340&sign=3e5352f5e554f1c7318e53326dfc2f99,True,3521036,168493.0,110666.0,br,87.5,['Beauty'],,,,,,,,,
Instagram,21025821,brunogagliasso,Bruno Gagliasso,https://cdn.hypeauditor.com/img/instagram/user/21025821.jpg?w=150&till=1722470340&sign=40c2ef5983b808a2267d004bd81fdb56,True,22219498,26710.0,17885.0,br,76.4,"['Cinema & Actors/actresses', 'Photography']",,,,,,,,,
Instagram,1570469001,brunolima_,Bruno Lima,https://cdn.hypeauditor.com/img/instagram/user/1570469001.jpg?w=150&till=1722470340&sign=d5dee7577a9dc6df87cc415b935aa6ac,True,2958535,296654.0,205817.0,br,75.16,"['Family', 'Lifestyle']",,,,,,,,,
Instagram,1442203501,brunoplayhard,Bruno PH,https://cdn.hypeauditor.com/img/instagram/user/1442203501.jpg?w=150&till=1722470340&sign=4f797fb7ccce09aad8b0b36d96ea3ec0,True,7093710,339813.0,243562.0,br,83.26,['Shows'],,,,,,,,,
Instagram,7746577,bryant,,https://cdn.hypeauditor.com/img/instagram/user/7746577.jpg?w=150&till=1722470340&sign=60d5e0679fa15a29bd402ce72586ae4f,True,9022164,60819.0,44354.0,us,24.77,['Fashion'],,,,,,,,,
Instagram,1449154051,brycehall,Bryce Hall,https://cdn.hypeauditor.com/img/instagram/user/1449154051.jpg?w=150&till=1722470340&sign=49796fd81be87ca07d9001836f1dddb0,True,7022276,96214.0,72564.0,us,35.01,['Music'],,,,,,,,,
Instagram,5635175196,bt21_official,BT21,https://cdn.hypeauditor.com/img/instagram/user/5635175196.jpg?w=150&till=1722470340&sign=ea600e67d0c59ba1d7b4897d158f23c7,True,6122737,106993.0,87102.0,kr,10.85,['Music'],,,,,,,,,
Instagram,2274763833,bts.bighitofficial,BTS official,https://cdn.hypeauditor.com/img/instagram/user/2274763833.jpg?w=150&till=1722470340&sign=08f503736cc1b35651a46e7c7cb6a3ed,True,74685561,1203178.0,1014698.0,br,12.37,['Music'],,,,,,,,,
Instagram,324007434,bumkeyk,SHINee KEY,https://cdn.hypeauditor.com/img/instagram/user/324007434.jpg?w=150&till=1722470340&sign=6463ab6fd2ad100584f8c44f1962bbd2,True,9828189,196726.0,164599.0,kr,12.12,['Music'],,,,,,,,,
Instagram,59341199138,buzeira_,Buzeira,https://cdn.hypeauditor.com/img/instagram/user/59341199138.jpg?w=150&till=1722470340&sign=d453815ba0b96e38795d6c8fee2efc7e,True,10233849,831067.0,555085.0,br,82.52,,,,,,,,,,
